newsId,isFake,words,uppercases,questions,exclamations,authors,citations,firstperson,secondperson,thirdperson,sentencelength,repetitiveness,authorHits,sentiment
97,1,620,0.036,0,0,1,1,0.00323,0.00323,0.04355,22.14,0.540,126000,-0.42857
98,1,138,0.042,0,0,0,1,0.00000,0.00000,0.02899,13.80,0.710,0,-0.66667
99,1,1017,0.020,0,9,0,1,0.00885,0.02950,0.00197,26.08,0.509,0,-0.87179
100,1,444,0.028,0,0,0,1,0.02252,0.00000,0.03829,21.14,0.592,0,-0.77778
101,1,1289,0.034,0,0,2,20,0.00698,0.00310,0.05043,26.31,0.428,7500,-0.93617
102,0,419,0.060,0,0,1,3,0.00000,0.01432,0.00477,20.95,0.597,0,-0.80000
103,0,374,0.021,1,0,1,5,0.00267,0.02139,0.01070,13.85,0.628,7850,-0.55000
104,0,227,0.020,0,0,1,1,0.00000,0.00000,0.01322,20.64,0.736,131000,-0.30000
105,0,345,0.034,0,0,0,1,0.00000,0.00000,0.02029,21.56,0.681,0,-0.64286
106,1,187,0.040,0,0,0,1,0.01070,0.02139,0.02139,15.58,0.668,0,-0.25000
107,1,338,0.026,0,0,1,1,0.01775,0.00000,0.00888,21.13,0.604,46100,-0.68750
108,1,194,0.018,0,0,1,1,0.00000,0.00000,0.05670,27.71,0.711,46100,-0.71429
109,1,237,0.013,0,0,1,1,0.00000,0.02532,0.00000,15.80,0.624,27,-0.20000
110,1,364,0.041,0,0,0,1,0.00000,0.00000,0.01374,24.27,0.615,0,-0.85714
111,0,681,0.036,2,0,3,2,0.00000,0.00000,0.02056,15.84,0.527,2203,-0.60606
112,0,196,0.021,0,0,1,2,0.01531,0.00000,0.04082,21.78,0.673,40300,-1.00000
113,0,528,0.022,0,0,1,1,0.00379,0.00000,0.03977,21.12,0.547,40700,-0.42857
114,0,913,0.032,0,0,2,4,0.00000,0.00438,0.00657,18.63,0.510,2940,-0.61905
115,0,488,0.033,0,0,1,2,0.00000,0.00000,0.01025,22.18,0.477,19700,-0.94118
116,1,209,0.018,0,0,1,1,0.00957,0.00957,0.02392,17.42,0.651,53900000,-0.75000
117,1,200,0.030,0,0,1,1,0.01000,0.00000,0.04500,20.00,0.710,46100,-0.90000
118,1,195,0.037,1,0,0,1,0.00000,0.00000,0.02564,19.50,0.687,0,-0.50000
119,1,224,0.027,0,0,1,1,0.00446,0.02679,0.04018,24.89,0.714,46100,-0.77778
120,1,269,0.027,0,0,1,1,0.02974,0.00000,0.01487,22.42,0.599,46100,-0.66667
121,1,683,0.039,0,0,0,1,0.02196,0.01171,0.03514,11.78,0.543,0,-0.72414
122,1,567,0.019,1,2,1,1,0.03175,0.02998,0.03175,18.90,0.563,53800000,-0.46429
123,1,360,0.025,1,0,0,1,0.01111,0.00000,0.01667,22.50,0.644,0,-0.93333
124,1,116,0.041,0,0,0,1,0.00000,0.00000,0.02586,14.50,0.707,0,-0.85714
125,1,312,0.037,0,0,0,1,0.05449,0.01923,0.05128,15.60,0.670,0,-0.55000
126,0,1439,0.033,0,0,2,1,0.01320,0.00695,0.03058,14.25,0.465,8550,-0.44262
127,0,74,0.056,0,0,1,2,0.04054,0.00000,0.01351,10.57,0.770,30400,-1.00000
128,0,367,0.021,1,0,1,6,0.03270,0.00545,0.04632,22.94,0.649,5410,-0.69231
129,0,73,0.041,0,0,1,1,0.00000,0.00000,0.01370,8.11,0.836,7140,-1.00000
130,0,1121,0.028,0,0,1,1,0.00357,0.00000,0.02052,22.88,0.536,29600,-0.95349
131,0,1085,0.034,0,0,1,1,0.00645,0.00000,0.03779,26.46,0.499,12500,-0.68293
